,degree,betweenness,eigenvector
XOM,0.11111111111111112,0.00020614306328592042,0.008994719643595056
OXY,0.10101010101010102,0.00020614306328592042,0.008457491145902978
PTON,0.020202020202020204,0.0,0.008098945708671998
RIG,0.09090909090909091,0.0,0.008090178786071297
PBR,0.11111111111111112,0.0018552875695732837,0.008074593649738337
VALE,0.07070707070707072,0.0,0.00631054624296387
LQD,0.020202020202020204,0.016903731189445475,0.004213744628445519
XLU,0.030303030303030304,0.00020614306328592042,0.000873122816814203
T,0.020202020202020204,0.0008245722531436817,0.00047476524790472923
VZ,0.030303030303030304,0.0006184291898577612,0.0004674964128370341
TLT,0.010101010101010102,0.0,0.0001821468174225182
GOLD,0.030303030303030304,0.0,0.0
GDX,0.030303030303030304,0.0,0.0
BMY,0.0,0.0,0.0
AMC,0.0,0.0,0.0
KGC,0.030303030303030304,0.0,0.0
PCG,0.0,0.0,0.0
PSQ,0.06060606060606061,0.0,0.0
LUMN,0.0,0.0,0.0
PFE,0.0,0.0,0.0
SPXU,0.06060606060606061,0.0,0.0
SQQQ,0.06060606060606061,0.0,0.0
SLV,0.030303030303030304,0.0,0.0
SH,0.06060606060606061,0.0,0.0
SOXS,0.06060606060606061,0.0,0.0
UVXY,0.06060606060606061,0.0,0.0
TZA,0.06060606060606061,0.0,0.0
